"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","b_rbi","b_total_bases","r_total_caught_stealing","r_total_stolen_base","b_gnd_into_dp","b_hit_by_pitch","b_intent_walk","b_sac_bunt","b_sac_fly","xba","xslg","woba","xwoba","xobp","xiso","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","solidcontact_percent","flareburner_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Edman, Tommy",669242,2023,28,479,528,119,77,25,4,13,84,35,15.9,6.6,".248",".399",".307","0.706","0.151","47","191","4","27","9","7","1","3","4",".259",".393",".306",".312",".318",".134","89.1","7.5",27.9,20,5,5.7,23.9,38.8,"99.456717727","93.865892803",16.1,45.7
"Seager, Corey",608369,2023,29,477,536,156,81,42,0,33,88,49,16.4,9.1,".327",".623",".390","1.013","0.296","96","297","1","2","9","4","9","0","6",".303",".620",".419",".411",".371",".317","93.3","13",38,60,15.2,11.4,20.8,53.2,"103.543493485","96.785948962",25,55.1
"Slater, Austin",596103,2023,30,185,207,50,36,9,0,5,58,20,28,9.7,".270",".400",".348","0.748","0.130","20","74","2","2","2","2","0","0","0",".247",".442",".330",".334",".327",".195","91.1","7.5",34.6,15,11.8,4.7,26.8,46.5,"101.910679365","95.591557937",29.8,42.3
"Donovan, Brendan",680977,2023,26,327,371,93,71,10,1,11,53,33,14.3,8.9,".284",".422",".365","0.787","0.138","34","138","1","5","4","9","2","1","1",".285",".444",".345",".356",".367",".159","89.3","10.6",37.3,16,5.8,7.6,29.7,40.6,"99.360461838","93.987172915",14.8,42.8
"Henderson, Gunnar",683002,2023,22,560,622,143,77,29,9,28,159,56,25.6,9,".255",".489",".325","0.814","0.234","82","274","3","10","10","3","1","0","3",".257",".479",".346",".347",".327",".223","92","11.4",32.9,46,11.4,7.9,23.3,52,"102.730226238","96.062562903",26.4,46.8
"Kemp, Tony",643393,2023,31,359,419,75,54,13,3,5,40,44,9.5,10.5,".209",".304",".303","0.607","0.095","27","109","4","15","9","6","0","7","3",".239",".326",".276",".299",".331",".087","86.7","10",31.3,4,1.2,5.8,21.9,20.4,"94.699737436","91.482675737",14.5,46
"Arenado, Nolan",571448,2023,32,560,612,149,95,26,2,26,101,41,16.5,6.7,".266",".459",".315","0.774","0.193","93","257","3","3","21","3","5","0","8",".262",".439",".327",".320",".313",".177","88.8","16.9",33,34,7.3,6,25.5,38.1,"99.311427863","93.760489679",20.2,48.5
"Anderson, Tim",641313,2023,30,493,524,121,100,18,2,1,122,26,23.3,5,".245",".296",".286","0.582","0.051","25","146","2","13","15","3","0","0","2",".250",".337",".260",".280",".292",".087","87.8","2",32.4,11,2.9,5.9,28.4,39.4,"99.22965129","93.713640376",25.3,53.5
"Pederson, Joc",592626,2023,31,358,425,84,52,14,3,15,89,57,20.9,13.4,".235",".416",".348","0.764","0.181","51","149","0","0","12","7","6","0","3",".258",".489",".331",".367",".369",".231","92.1","15.2",33.5,33,12.1,8.5,26.1,52.2,"103.009948074","96.305444852",24.6,45.2
"Laureano, Ramón",657656,2023,28,361,404,81,50,18,4,9,114,33,28.2,8.2,".224",".371",".304","0.675","0.147","35","134","1","12","9","9","0","0","1",".227",".377",".298",".304",".308",".151","88.2","12.9",34.7,24,9.7,4.4,26.2,35.9,"98.923313496","93.530379634",29,46.8
