"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","b_rbi","b_total_bases","r_total_caught_stealing","r_total_stolen_base","b_gnd_into_dp","b_hit_by_pitch","b_intent_walk","b_sac_bunt","b_sac_fly","xba","xslg","woba","xwoba","xobp","xiso","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","solidcontact_percent","flareburner_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Mullins, Cedric",656775,2022,27,608,672,157,105,32,4,16,126,47,18.8,7,".258",".403",".318","0.721","0.145","64","245","10","34","4","9","2","1","5",".233",".363",".315",".292",".297",".130","88.8","17.4",29.3,24,4.9,5.9,23,37.3,"98.895231356","93.569582691",22.2,51.3
"Soto, Juan",665742,2022,23,524,664,127,73,25,2,27,96,135,14.5,20.3,".242",".452",".401","0.853","0.210","62","237","2","6","12","4","6","0","0",".263",".516",".376",".403",".418",".253","91","9.1",28.5,53,12.4,7.2,18.2,47.4,"102.236934112","95.653888852",19.4,35.5
"Hilliard, Sam",656541,2022,28,174,200,32,23,6,1,2,57,23,28.5,11.5,".184",".264",".280","0.544","0.080","14","46","1","5","2","1","0","0","2",".212",".370",".251",".304",".309",".158","92","13.4",27.7,11,9.2,9.2,19.3,48.7,"102.616565833","95.872595546",35.1,43.9
"García, Adolis",666969,2022,29,605,657,151,85,34,5,27,183,40,27.9,6.1,".250",".456",".300","0.756","0.206","101","276","6","25","9","6","2","0","6",".242",".467",".324",".326",".294",".225","92.1","13.2",36.9,55,12.9,9.3,22.9,47.4,"102.368780141","95.786867388",33.5,53.5
"Lowe, Nathaniel",663993,2022,26,593,645,179,123,26,3,27,147,48,22.8,7.4,".302",".492",".358","0.850","0.190","76","292","2","2","10","4","2","0","0",".273",".470",".368",".346",".332",".197","90.2","8.2",34.1,44,9.9,5.2,28,44.8,"101.963916216","95.317229707",24.9,52.2
"Rutschman, Adley",668939,2022,24,398,470,101,52,35,1,13,86,65,18.3,13.8,".254",".445",".362","0.807","0.191","42","177","0","4","4","4","0","0","3",".243",".417",".354",".341",".354",".174","87.9","15.6",35.6,25,7.9,6.7,25.4,36.8,"99.028130823","93.60531527",17.9,40.5
"Wade Jr., LaMonte",664774,2022,28,217,251,45,29,7,1,8,51,26,20.3,10.4,".207",".359",".305","0.664","0.152","26","78","0","1","0","5","0","2","1",".216",".417",".298",".320",".313",".202","87.7","21.1",33.7,16,9.5,5.9,19.5,34.3,"98.05927131","93.112804491",18,44.8
"Ortega, Rafael",542364,2022,31,316,371,76,54,14,1,7,74,44,19.9,11.9,".241",".358",".331","0.689","0.117","35","113","7","12","10","2","2","1","7",".246",".365",".305",".318",".339",".120","87.2","17.1",37.6,12,4.8,5.2,26.8,33.7,"97.447746423","92.750083049",19.6,45.4
"Kemp, Tony",643393,2022,30,497,558,117,84,24,2,7,69,45,12.4,8.1,".235",".334",".307","0.641","0.099","46","166","1","11","5","8","0","5","3",".222",".306",".287",".273",".296",".084","84.4","15",33.9,7,1.6,4.1,23.6,14.9,"93.050155144","90.545713639",13.4,48.9
"Yepez, Juan",660766,2022,24,253,274,64,39,13,0,12,61,16,22.3,5.8,".253",".447",".296","0.743","0.194","30","113","0","0","6","1","0","0","4",".216",".414",".319",".292",".263",".199","86.5","17.1",33.2,18,9.2,5.6,17.3,33.7,"98.66909102","93.337373827",26.1,54.5
"Santana, Carlos",467793,2022,36,431,506,87,50,18,0,19,88,71,17.4,14,".202",".376",".316","0.692","0.174","60","162","0","0","9","2","2","0","2",".252",".456",".308",".356",".360",".205","90.7","15.4",31.6,32,9.3,7.2,23.8,44.9,"100.993708488","94.851060233",21.3,42.6
"Garver, Mitch",641598,2022,31,188,215,39,22,7,0,10,53,23,24.7,10.7,".207",".404",".298","0.702","0.197","24","76","1","1","3","2","0","0","2",".222",".423",".308",".324",".313",".201","88.9","18.4",37.2,12,8.8,11.7,21.2,38.7,"99.517286232","93.963293942",25.3,42.3
"Swanson, Dansby",621020,2022,28,640,696,177,119,32,1,25,182,49,26.1,7,".277",".447",".329","0.776","0.170","96","286","7","18","12","3","0","0","4",".256",".479",".337",".342",".312",".223","90.2","15.7",37,50,10.8,8,27.1,46.3,"100.839209567","94.810341952",30.7,49.4
"Fletcher, David",664058,2022,28,216,228,55,43,9,1,2,16,7,7,3.1,".255",".333",".288","0.621","0.078","17","72","0","1","6","3","0","2","0",".286",".345",".275",".295",".318",".059","82.1","15",41.1,0,0,0.5,32.2,7.4,"91.09124866","89.628919691",12.2,48.4
"Díaz, Elias",553869,2022,31,351,381,80,51,18,2,9,82,25,21.5,6.6,".228",".368",".281","0.649","0.140","51","129","1","0","8","2","0","0","3",".217",".344",".284",".273",".274",".126","88.4","11.1",28.3,16,5.9,5.1,23.2,39.3,"100.058292985","94.204058315",22.7,51.8
"Mejía, Francisco",642336,2022,26,289,299,70,42,22,0,6,65,7,21.7,2.3,".242",".381",".264","0.645","0.139","31","110","0","0","6","2","0","0","1",".240",".339",".279",".263",".263",".099","86.8","15.7",39.1,6,2.7,5.8,29.8,28,"96.324122655","92.181366356",23.6,61.2
"Nola, Austin",543592,2022,32,347,397,87,68,15,0,4,60,34,15.1,8.6,".251",".329",".321","0.650","0.078","40","114","1","2","5","6","1","1","9",".257",".369",".290",".312",".332",".112","89.4","12",35.4,7,2.4,6.7,30.3,39.7,"98.960360608","93.682414983",14.4,42.8
"Mitchell, Cal",668751,2022,23,212,232,48,32,11,0,5,52,18,22.4,7.8,".226",".349",".286","0.635","0.123","17","74","1","3","3","0","0","1","1",".236",".376",".281",".296",".295",".140","89.9","7.5",34,8,4.9,5.6,27.2,40.7,"99.042591235","93.818245342",26.8,50.5
"Hicks, Aaron",543305,2022,32,384,453,83,64,9,2,8,109,62,24.1,13.7,".216",".313",".330","0.643","0.097","40","120","3","10","10","4","3","1","2",".217",".338",".292",".302",".332",".121","87.9","14.8",25.2,16,5.8,2.9,26.3,33.1,"98.078223577","93.127214322",25.8,41.1
"Kiner-Falefa, Isiah",643396,2022,27,483,531,126,102,20,0,4,72,35,13.6,6.6,".261",".327",".314","0.641","0.066","48","158","4","22","13","5","2","3","5",".261",".339",".285",".292",".317",".078","86.2","4.3",29.6,5,1.2,4.3,26.5,30.1,"96.614692718","92.355143236",11.3,44.7
"Wisdom, Patrick",621550,2022,30,469,534,97,44,28,0,25,183,53,34.3,9.9,".207",".426",".298","0.724","0.219","66","200","4","8","8","9","1","1","2",".187",".395",".316",".298",".283",".208","90.7","21",29.8,41,14.2,6.2,15.6,46.3,"102.164032394","95.695873993",36.5,48.1
"Ward, Taylor",621493,2022,28,495,564,139,92,22,2,23,120,60,21.3,10.6,".281",".473",".360","0.833","0.192","65","234","3","5","5","4","0","0","5",".265",".488",".362",".363",".349",".224","90","15.8",41.8,47,12.4,7.4,26.3,42.9,"100.184571947","94.439550026",22.3,41.4
"Marte, Ketel",606466,2022,28,492,558,118,62,42,2,12,101,55,18.1,9.9,".240",".407",".321","0.728","0.167","52","200","1","5","12","6","3","0","5",".247",".388",".317",".317",".330",".140","90.1","13.5",31.6,24,6.1,5.8,28,41.9,"101.202754619","94.845027056",20.7,46.1
"Higashioka, Kyle",543309,2022,32,229,248,52,35,7,0,10,52,12,21,4.8,".227",".389",".264","0.653","0.162","31","89","1","0","5","1","0","2","4",".253",".462",".282",".321",".290",".209","90.9","17.2",36.6,18,9.8,4.9,26.8,48.1,"101.231678333","95.189627056",26.8,50.6
"Goldschmidt, Paul",502671,2022,34,561,651,178,102,41,0,35,141,79,21.7,12.1,".317",".578",".404","0.982","0.261","115","324","0","7","7","5","1","0","4",".262",".503",".419",".372",".357",".242","90.8","15.7",31.8,49,11.6,9.9,23.8,47.4,"102.244608246","95.440152299",26.8,41.7
"Hoerner, Nico",663538,2022,25,481,517,135,98,22,5,10,57,28,11,5.4,".281",".410",".327","0.737","0.129","55","197","2","20","11","6","4","0","2",".273",".384",".320",".309",".321",".111","87.2","10.6",32.4,11,2.6,4.7,26.3,33.5,"97.678971875","92.920531108",14.2,49.2
"González, Luis",670768,2022,26,311,350,78,55,17,2,4,75,30,21.4,8.6,".251",".357",".320","0.677","0.106","36","111","2","10","5","4","1","0","5",".217",".314",".299",".272",".291",".098","86.8","10.8",27,6,2.5,7.5,21.6,31.7,"97.568349561","92.834925154",23.3,47.2
"Cruz, Nelson",443558,2022,41,448,507,105,79,16,0,10,119,49,23.5,9.7,".234",".337",".313","0.650","0.103","64","151","0","4","16","4","1","0","3",".239",".410",".292",".322",".321",".172","90.9","7.2",28,31,9.3,4.5,25.6,46.1,"102.29838061","95.468978262",32,50.8
"Arroyo, Christian",624414,2022,27,280,300,80,57,16,1,6,49,13,16.3,4.3,".286",".414",".322","0.736","0.128","36","116","1","5","7","3","2","2","2",".291",".438",".319",".332",".329",".147","88.9","9.1",34.9,15,6.4,4.3,34,42.1,"100.637264188","94.490642232",20.5,57.5
