pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,9/28/2025,91.9,-1.53,3.8,"Barger, Addison",680718,687330,home_run,hit_into_play,,,,,5,Addison Barger homers (21) on a fly ball to right center field. Daulton Varsho scores.,R,L,R,TOR,TB,X,,fly_ball,3,2,2025,-1.39,-0.04,-0.120451868,2.7316343218658363,,,662139,2,7,Bot,178.73,37.14,,,,,6.702804591123552,-133.5930116,3.3052707730822526,-18.08323317,28.053480401998996,-33.5309278,3.7,1.71,419,108.9,28,93.3,1956,7.2,776145,676439,676044,656484,691406,700246,680700,663968,666139,53.33,0.958,1.9375999999999995,2,1,0,3,6,67,7,Sinker,8,4,8,4,4,10,10,4,Infield shade,Standard,250,0.025,2.201,78.2,7.5,3.832,-2.201,108.9,4,4,0.967,0.967,27,25,28,26,1,3,3,1,,6,2.73,1.39,-1.39,4.6,9.695962794469303,-3.112663107,27.67918145561065,33.33566790087481,32.48064174688864
FF,9/28/2025,97.8,-0.55,6.53,"Kirk, Alejandro",672386,641329,strikeout,swinging_strike,,,,,6,Alejandro Kirk strikes out swinging.,R,R,R,TOR,TB,S,2,,2,2,2025,-0.29,1.55,0.3888959067307864,2.3682787966776226,,664770,,1,8,Bot,,,,,,,3.208513242073205,-142.1498191,-9.284644364,-4.703261191,34.204889376488005,-9.251606115,3.14,1.5,,,,97.8,2329,6.4,776145,676439,676044,656484,691406,700246,680700,663968,666139,54.06,,0,0,1,0,0,,78,7,4-Seam Fastball,13,4,13,4,4,13,13,4,Standard,Standard,201,0,-0.227,71,6.6,,0.227,,9,9,0.999,0.999,30,26,31,27,1,4,4,1,,6,0.85,0.29,0.29,54.1,-0.427110292,30.263832661249864,22.939134718732795,45.99257225663008,14.45569751954594
CH,9/28/2025,82.7,1.33,6,"Santander, Anthony",623993,693855,strikeout,swinging_strike,,,,,8,Anthony Santander strikes out swinging.,R,R,L,TOR,TB,S,2,,2,2,2025,1.15,1.1,-0.049984366,1.9288741355959889,,676914,665489,0,1,Bot,,,,,,,-5.359895643,-120.2923599,-4.921948983,12.19554212277442,22.68327837028138,-20.72334894,3.36,1.56,,,,82.5,1728,6.1,776145,676439,676044,656484,691406,700246,680700,663968,666139,54.38,,0,0,1,0,0,,8,6,Changeup,1,1,1,1,1,1,1,1,Standard,Standard,128,-0.042,-0.251,76.8,8.6,,0.251,,0,0,0.629,0.629,26,30,27,31,1,0,5,2,,6,2.23,1.15,-1.15,50.1,23.811229820321838,-55.45476623,27.21398338,35.18375006559318,58.251333937090905
FF,9/28/2025,94.8,-1.4,4.33,"Barger, Addison",680718,670955,double,hit_into_play,,,,,14,Addison Barger doubles (32) on a fly ball to second baseman Tristan Gray.,R,L,R,TOR,TB,X,4,fly_ball,1,2,2025,-1.15,0.97,1.2068330754835845,2.589801344233613,,,,1,5,Bot,188.19,128.65,,,,,9.361942378464153,-137.7999132,-1.086892443,-16.6838466,27.555886580306836,-19.69383322,3.7,1.71,213,68.6,44,94.9,2493,6.2,776145,676439,676044,656484,691406,700246,680700,663968,666139,54.33,0.296,0.278,1.25,1,1,1,3,49,4,4-Seam Fastball,8,4,8,4,4,8,8,4,Infield shade,Standard,238,0.013,0.716,,,0.359,-0.716,88,4,4,0.924,0.924,27,25,27,26,1,2,4,1,,6,1.55,1.15,-1.15,11.5,,,,,
FF,9/28/2025,96.5,-0.42,6.54,"Varsho, Daulton",662139,641329,strikeout,swinging_strike,,,,,2,Daulton Varsho strikes out swinging.,R,L,R,TOR,TB,S,2,,3,2,2025,-0.04,1.57,-0.262116194,3.384768584483429,,664770,,0,8,Bot,,,,,,,0.5253716567374667,-140.320053,-6.365608837,-0.662299198,34.36319534580036,-10.22024425,3.38,1.54,,,,96.3,2261,6.4,776145,676439,676044,656484,691406,700246,680700,663968,666139,54.09,,0,0,1,0,0,,77,9,4-Seam Fastball,13,4,13,4,4,13,13,4,Standard,Standard,199,0,-0.386,78.5,7.3,,0.386,,9,9,0.999,0.999,30,28,31,29,1,4,4,1,,6,0.9,0.04,-0.04,55,11.376252374664684,-3.494527718,13.127943353356486,36.62980911396287,26.360023062572978
FC,9/28/2025,88.6,1.66,5.78,"Guerrero Jr., Vladimir",665489,693855,single,hit_into_play,,,,,1,Vladimir Guerrero Jr. singles on a line drive to right fielder Josh Lowe. George Springer scores. Davis Schneider to 2nd.,R,R,L,TOR,TB,X,9,line_drive,2,2,2025,0.08,0.68,-0.782403297,3.1434634954786573,,543807,676914,0,1,Bot,160.31,104.83,,,,,-6.124125859,-129.0018313,-1.815399372,2.137355036517394,26.033395656793818,-24.41116185,3.68,1.67,169,79.7,12,88.7,2131,6.3,776145,676439,676044,656484,691406,700246,680700,663968,666139,54.23,0.519,0.477,0.9,1,1,0,4,7,5,Cutter,0,1,0,1,1,1,1,1,Infield shade,Standard,148,0.1,0.52,67.7,5.7,0.569,-0.52,88,-1,-1,0.536,0.536,26,26,27,26,1,0,5,1,,6,2.21,0.08,-0.08,45.2,-9.987095658,19.523199890681934,31.483519919468712,28.31305043999859,22.593961781880175
SI,9/28/2025,90.7,-1.71,3.86,"Lukes, Nathan",664770,687330,field_out,hit_into_play,,,,,7,"Nathan Lukes grounds out sharply, third baseman Junior Caminero to first baseman Bob Seymour.",R,L,R,TOR,TB,X,5,ground_ball,2,2,2025,-1.25,-0.47,-0.35227213,1.734563891047865,,,,0,7,Bot,109.52,153.46,,,,,6.149891765316611,-132.0065739,1.6197799086281544,-15.8815087,25.80266074639041,-38.2368875,3.3,1.52,5,106,-17,92.4,1926,7.1,776145,676439,676044,656484,691406,700246,680700,663968,666139,53.4,0.148,0.139,0,1,0,0,2,64,8,Sinker,8,4,8,4,4,8,8,4,Infield shade,Standard,247,-0.003,-0.232,,,0.148,0.232,106,4,4,0.971,0.971,27,30,28,31,1,0,3,1,,6,3.22,1.25,-1.25,3.9,,,,,
CH,9/28/2025,88.6,-1.68,4.48,"Kirk, Alejandro",672386,670955,home_run,hit_into_play,,,,,8,Alejandro Kirk homers (15) on a fly ball to center field. Anthony Santander scores.,R,R,R,TOR,TB,X,,fly_ball,2,2,2025,-1.21,-0.02,-0.191398544,1.704055315195657,,,623993,1,5,Bot,150.67,36.67,,,,,6.191705041996196,-128.9709339,-0.699666538,-14.73021695,25.416818572944145,-32.51123576,3.14,1.5,419,107.2,24,89.2,2045,6.5,776145,676439,676044,656484,691406,700246,680700,663968,666139,53.96,0.821,1.599568965517241,2,1,0,3,6,48,5,Changeup,6,4,6,4,4,8,8,4,Strategic,Standard,246,0.115,1.498,77.1,7.5,3.129,-1.498,107.2,2,2,0.81,0.81,27,26,27,27,1,2,4,1,,6,2.91,1.21,1.21,15,7.902383784,-0.022277551,26.135210541665295,38.40697001834086,34.103189756560155
FF,9/28/2025,98.7,-0.26,6.66,"Guerrero Jr., Vladimir",665489,641329,strikeout,swinging_strike,,,,,11,Vladimir Guerrero Jr. strikes out swinging.,R,R,R,TOR,TB,S,2,,1,2,2025,-0.24,1.62,-0.84242676,3.8240537187356223,,665926,,2,7,Bot,,,,,,,-1.02448575,-143.5630511,-5.991104916,-3.088007439,35.62863790300125,-8.647318978,3.68,1.67,,,,98.4,2360,6.3,776145,676439,676044,656484,691406,700246,680700,663968,666139,54.2,,0,0,1,0,0,,72,4,4-Seam Fastball,13,4,13,4,4,13,13,4,Standard,Standard,200,0,-0.208,68.9,6,,0.208,,9,9,0.999,0.999,30,26,31,26,1,4,4,1,,6,0.74,0.24,0.24,55.8,-1.56894739,17.541054517715672,21.58318762,27.624095771372716,19.441301355876487
FF,9/28/2025,93.5,-1.56,4.19,"Giménez, Andrés",665926,687330,strikeout,swinging_strike,,,,,12,Andrés Giménez strikes out swinging.,R,L,R,TOR,TB,S,2,,2,2,2025,-0.92,0.77,0.11872312268496765,3.822970029660599,,,,1,6,Bot,,,,,,,6.467491809,-136.0704446,3.110612890695683,-12.77121916,26.061246058401085,-23.30244371,3.33,1.51,,,,95.6,2046,7.2,776145,676439,676044,656484,691406,700246,680700,663968,666139,53.31,,0,0,1,0,0,,58,5,4-Seam Fastball,8,4,8,4,4,8,8,4,Infield shade,Standard,242,-0.003,-0.228,57,5.2,,0.228,,4,4,0.946,0.946,27,26,28,27,1,1,3,1,,6,1.81,0.92,-0.92,13.7,-1.485819676,29.174821644706817,23.209940897000983,35.22073827245319,17.43668587
