pitch_type,game_date,release_speed,player_name,batter,events,description,zone,b_swings,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hit_distance_sc,launch_speed,launch_angle,game_pk,estimated_ba_using_speedangle,launch_speed_angle,pitch_number,pitch_name,home_score,away_score,post_away_score,post_home_score,if_fielding_alignment,of_fielding_alignment,delta_run_exp,bat_win_exp
SI,9/28/2025,96.4,"Outman, James",681546,strikeout,swinging_strike,8,L,L,PHI,MIN,S,2,,2,2,2025,,,,1,6,Top,,,,776141,,,5,Sinker,0,0,0,0,Infield shade,Standard,-0.228,0.46199999999999997
CH,9/28/2025,88.2,"Fitzgerald, Ryan",680837,strikeout,swinging_strike_blocked,13,L,L,PHI,MIN,S,2,,2,2,2025,,,,2,5,Top,,,,776141,,,5,Changeup,0,0,0,0,Standard,Standard,-0.224,0.44599999999999995
CH,9/28/2025,87.4,"McCusker, Carson",676812,strikeout,swinging_strike,14,R,L,PHI,MIN,S,2,,1,2,2025,,,,1,5,Top,,,,776141,,,4,Changeup,0,0,0,0,Standard,Standard,-0.18,0.46299999999999997
CH,9/28/2025,87.6,"Clemens, Kody",665019,strikeout,swinging_strike_blocked,13,L,L,PHI,MIN,S,2,,2,2,2025,,680777,,2,4,Top,,,,776141,,,5,Changeup,0,0,0,0,Standard,Standard,-0.22,0.475
CH,9/28/2025,86.7,"Jeffers, Ryan",680777,single,hit_into_play,6,R,L,PHI,MIN,X,8,ground_ball,0,2,2025,,,,1,4,Top,18,103.7,-6,776141,0.331,2,3,Changeup,0,0,0,0,Standard,Standard,0.506,0.46499999999999997
SI,9/28/2025,96.5,"Outman, James",681546,strikeout,foul_tip,6,L,L,PHI,MIN,S,2,,3,2,2025,,,,2,3,Top,,,,776141,,,7,Sinker,0,0,0,0,Strategic,Standard,-0.328,0.45899999999999996
SI,9/28/2025,94.1,"Outman, James",681546,strikeout,called_strike,2,L,R,PHI,MIN,S,2,,2,2,2025,686797,680577,680837,2,7,Top,,,,776141,,,5,Sinker,0,1,1,0,Standard,Standard,-0.236,0.7030000000000001
FF,9/28/2025,94.1,"Vázquez, Christian",543877,strikeout,swinging_strike,8,R,R,PHI,MIN,S,2,,2,2,2025,686797,680577,680837,1,7,Top,,,,776141,,,6,4-Seam Fastball,0,1,1,0,Standard,Standard,-0.273,0.781
SL,9/28/2025,88,"Fitzgerald, Ryan",680837,field_out,hit_into_play,8,L,L,PHI,MIN,X,3,ground_ball,0,2,2025,,,,0,3,Top,2,82.4,-44,776141,0.093,2,3,Slider,0,0,0,0,Strategic,Standard,-0.165,0.49
CH,9/28/2025,88.8,"McCusker, Carson",676812,strikeout,swinging_strike,14,R,L,PHI,MIN,S,2,,0,2,2025,,,,2,2,Top,,,,776141,,,3,Changeup,0,0,0,0,Standard,Standard,-0.16,0.45599999999999996
ST,9/28/2025,87.6,"Jeffers, Ryan",680777,strikeout,called_strike,8,R,R,PHI,MIN,S,2,,3,2,2025,,543877,,2,10,Top,,,,776141,,,7,Sweeper,1,1,1,1,Standard,Standard,-0.277,0.29800000000000004
