"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","b_rbi","b_total_bases","r_total_caught_stealing","r_total_stolen_base","b_gnd_into_dp","b_hit_by_pitch","b_intent_walk","b_sac_bunt","b_sac_fly","xba","xslg","woba","xwoba","xobp","xiso","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","solidcontact_percent","flareburner_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Brennan, Will",686823,2024,26,330,353,87,64,13,2,8,48,19,13.6,5.4,".264",".388",".309","0.697","0.124","30","128","2","4","9","3","2","0","1",".267",".381",".303",".306",".312",".114","86","13.3",31.1,13,4.6,4.2,27.6,32.5,"97.132881418","92.582691388",18.1,54.8
"Horwitz, Spencer",687462,2024,26,328,381,87,56,19,0,12,70,42,18.4,11,".265",".433",".357","0.790","0.168","40","142","0","0","8","7","2","0","4",".250",".427",".344",".340",".346",".177","88.2","13.7",37.4,21,8,8.4,26.3,36.6,"98.212716794","93.175509618",19.4,46
"Dubón, Mauricio",643289,2024,29,402,428,108,79,25,0,4,55,16,12.9,3.7,".269",".361",".296","0.657","0.092","47","145","2","3","6","2","0","3","5",".247",".337",".286",".276",".279",".090","86.1","14.6",30.4,10,2.8,3.1,25.1,26.5,"95.977741503","92.011502977",18.8,60.1
"DeLuca, Jonny",676356,2024,25,332,362,72,50,12,4,6,77,24,21.3,6.6,".217",".331",".278","0.609","0.114","31","110","6","16","1","4","1","2","0",".229",".327",".269",".277",".289",".098","84.6","16.2",32.7,10,3.9,4.7,26.1,28,"96.24111608","92.14905868",24,53.8
"Rojas, Josh",668942,2024,30,422,476,95,66,19,2,8,108,46,22.7,9.7,".225",".336",".304","0.640","0.111","31","142","4","10","6","3","1","1","2",".221",".361",".286",".297",".303",".140","88.2","15.5",35.6,18,5.7,7.9,26.2,38.2,"97.946263631","93.225198599",24.4,45.6
"Lopez, Nicky",670032,2024,29,398,445,96,80,12,3,1,67,37,15.1,8.3,".241",".294",".312","0.606","0.053","21","117","7","5","3","4","0","6","0",".227",".291",".275",".273",".299",".064","85","5.6",30,5,1.5,1.5,23.4,16.9,"94.065401402","91.042138226",19.4,48.5
"Rortvedt, Ben",666163,2024,26,290,328,66,50,13,0,3,88,34,26.8,10.4,".228",".303",".317","0.620","0.075","31","88","0","1","6","4","0","0","0",".202",".291",".283",".269",".294",".089","86.2","11.9",30.2,7,3.5,3,27.2,30.7,"96.9585767","92.49508965",26.7,43
"Arraez, Luis",650333,2024,27,637,672,200,161,32,3,4,29,24,4.3,3.6,".314",".392",".346","0.738","0.078","46","250","3","9","18","8","3","2","1",".310",".408",".323",".330",".343",".098","86.3","13.7",40.9,10,1.6,3.8,32.6,23.7,"94.838000362","91.449624457",6.9,49.8
"Urías, Ramón",602104,2024,30,272,301,69,47,9,2,11,55,23,18.3,7.6,".254",".423",".322","0.745","0.169","37","115","1","1","0","5","0","0","1",".245",".437",".325",".331",".317",".191","88.3","12.8",32.6,19,8.7,5.5,24.8,38.5,"98.830197431","93.627220321",26.8,49.6
"Donovan, Brendan",680977,2024,27,587,652,163,112,34,3,14,81,47,12.4,7.2,".278",".417",".342","0.759","0.139","73","245","5","5","4","13","0","0","5",".275",".432",".332",".341",".341",".157","88.7","13.2",36.6,28,5.5,6.5,25.8,37.6,"98.552237391","93.418618597",15.1,44.2
"Jiménez, Eloy",650391,2024,27,324,349,77,57,14,0,6,70,22,20.1,6.3,".238",".336",".289","0.625","0.098","23","109","0","3","13","2","1","0","1",".243",".386",".276",".302",".295",".143","92","4.3",25.1,20,7.8,3.9,22.4,49,"103.179997795","96.165143031",26.2,50.3
"Joe, Connor",656582,2024,31,364,416,83,51,22,1,9,91,44,21.9,10.6,".228",".368",".320","0.688","0.140","36","134","2","2","7","6","1","0","2",".202",".311",".305",".279",".298",".109","85.3","16.3",30.9,13,4.7,3.3,20.4,32.7,"97.939201314","92.982890511",25.7,43.1
"Meneses, Joey",608841,2024,32,281,313,65,51,11,0,3,63,21,20.1,6.7,".231",".302",".291","0.593","0.071","42","85","0","2","9","5","1","0","6",".221",".341",".264",".283",".287",".120","88.9","8.3",30.8,10,4.5,8,24.1,39.3,"99.265454911","93.867431839",22.9,50.8
"Newman, Kevin",621028,2024,30,288,311,80,59,17,1,3,48,15,15.4,4.8,".278",".375",".311","0.686","0.097","28","108","1","8","7","0","1","6","2",".257",".326",".298",".275",".292",".069","85.6","9.7",25,4,1.6,1.6,30.2,23.4,"95.24854438","91.64158444",17.3,49.2
"Stephenson, Tyler",663886,2024,27,457,515,118,72,26,1,19,117,48,22.7,9.3,".258",".444",".338","0.782","0.186","66","203","0","1","9","8","2","0","2",".238",".413",".339",".325",".322",".175","90.2","10.9",33,31,9.1,6.1,25.1,43.9,"100.320154503","94.587176774",22.7,43.2
"Martinez, J.D.",502110,2024,36,434,495,102,61,24,1,16,141,49,28.5,9.9,".235",".406",".320","0.726","0.171","69","176","0","0","17","6","0","0","2",".252",".480",".318",".353",".335",".228","91","14.4",39.3,44,14.9,4.4,26.8,46.1,"101.443240544","95.173257041",31.5,48.5
"Altuve, Jose",514888,2024,34,628,682,185,134,31,0,20,119,47,17.4,6.9,".295",".439",".350","0.789","0.144","65","276","7","22","15","7","2","0","0",".261",".406",".344",".319",".319",".145","86.5","14.1",35.4,33,6.5,3.9,28.5,31.2,"97.323672581","92.693762581",22.1,51.5
"Grossman, Robbie",543257,2024,34,208,245,44,33,8,0,3,58,34,23.7,13.9,".212",".293",".322","0.615","0.081","16","61","0","3","8","1","0","0","2",".217",".315",".283",".301",".330",".098","86.3","13.3",30.3,5,3.3,4.6,25,27.6,"96.108367632","92.054845855",22.7,36.3
"Nimmo, Brandon",607043,2024,31,571,663,128,77,25,3,23,158,77,23.8,11.6,".224",".399",".327","0.726","0.175","90","228","0","15","7","12","1","0","3",".241",".417",".321",".338",".344",".176","91.9","11.2",33.7,38,9.1,6.5,25.5,47.4,"101.264982933","95.221659687",23.4,44.8
"Carroll, Corbin",682998,2024,23,589,684,136,78,22,14,22,130,73,19,10.7,".231",".428",".322","0.750","0.197","74","252","8","35","3","10","0","3","9",".239",".401",".325",".328",".332",".162","89.3","12",27.8,34,7.2,7,18.7,40.8,"101.055665665","94.755672366",20.3,41.4
"Soderstrom, Tyler",691016,2024,22,189,213,44,25,10,0,9,53,20,24.9,9.4,".233",".429",".315","0.744","0.196","26","81","0","0","7","3","1","0","1",".235",".493",".322",".351",".318",".258","91.9","9.6",31.4,20,14.6,9.5,17.5,49.6,"102.485036087","95.728140219",30.1,48.7
"Alvarez, Francisco",682626,2024,22,308,342,73,46,14,2,11,86,30,25.1,8.8,".237",".403",".307","0.710","0.166","47","124","1","1","7","2","0","0","2",".218",".372",".310",".297",".291",".154","88.8","6.9",27.2,15,6.7,6.7,19.2,42,"101.298215536","94.784205516",29.6,46.1
"Gurriel Jr., Lourdes",666971,2024,30,513,553,143,101,22,2,18,101,29,18.3,5.2,".279",".435",".322","0.757","0.156","75","223","1","7","16","6","1","0","5",".265",".433",".327",".325",".311",".168","88.4","15.7",33.8,28,6.7,7.2,25.7,40,"99.549348469","93.921850288",20.2,51.1
"Yastrzemski, Mike",573262,2024,33,428,474,99,56,16,9,18,124,38,26.2,8,".231",".437",".302","0.739","0.206","57","187","2","3","5","6","1","1","1",".217",".406",".319",".304",".289",".189","90.4","19.1",33,32,10.5,6.5,22.2,41,"99.5562712","94.186783411",26.1,44.1
"Lewis, Royce",668904,2024,25,292,325,68,36,16,0,16,74,28,22.8,8.6,".233",".452",".295","0.747","0.219","47","132","0","0","5","0","2","0","5",".238",".435",".317",".317",".302",".197","87.1","16.8",36.3,25,11.2,5.4,20.6,37.7,"99.690144144","93.856491441",27,51.9
"Turang, Brice",668930,2024,24,559,619,142,107,24,4,7,105,50,17,8.1,".254",".349",".316","0.665","0.095","57","195","6","50","8","2","1","5","3",".261",".346",".294",".302",".323",".085","87","6.1",32,11,2.4,2.6,28.4,29.7,"96.869333063","92.521821874",13.8,47.7
"Witt Jr., Bobby",677951,2024,24,636,709,211,123,45,11,32,106,57,15,8,".332",".588",".389","0.977","0.256","109","374","12","31","4","8","9","0","8",".309",".583",".410",".407",".373",".274","92.7","15.1",35.7,77,14.3,5.6,24.9,48.3,"103.972880446","96.499868141",22.3,51.2
"Siani, Michael",672279,2024,24,298,334,68,57,7,2,2,92,21,27.5,6.3,".228",".285",".285","0.570","0.057","20","85","3","20","2","3","0","11","1",".204",".270",".257",".246",".264",".066","84.4","5.1",32.6,5,2.3,2.3,22.9,22.6,"95.786961649","91.898789433",29.5,48.9
"Bohm, Alec",664761,2024,27,554,606,155,94,44,2,15,86,40,14.2,6.6,".280",".448",".332","0.780","0.168","97","248","2","5","18","6","2","0","6",".283",".452",".335",".345",".338",".169","90.4","10.1",35.2,32,6.8,9.1,25.7,45.6,"100.768220847","94.781662669",17.6,49.7
"Benson, Will",666181,2024,26,343,388,64,29,19,2,14,154,40,39.7,10.3,".187",".376",".274","0.650","0.189","43","129","7","16","3","2","0","1","2",".179",".343",".285",".272",".268",".164","89.4","18.2",36.5,22,11.5,4.7,23.4,40.1,"99.756805263","94.123444",39,47.6
"Neto, Zach",687263,2024,23,542,602,135,77,34,1,23,140,39,23.3,6.5,".249",".443",".318","0.761","0.194","77","240","10","30","14","16","1","4","1",".233",".421",".330",".319",".305",".188","88.5","12.3",29,34,8.4,8.4,21.1,38.8,"100.130832864","94.28058907",27.1,48.9
"Duvall, Adam",594807,2024,35,303,330,55,34,10,0,11,99,21,30,6.4,".182",".323",".245","0.568","0.141","30","98","0","0","6","5","0","0","1",".195",".392",".252",".284",".258",".198","86.9","22.2",27.8,22,10.7,4.9,19.5,36.6,"99.791319515","93.950920683",27.7,49
"Gonzales, Nick",693304,2024,25,359,387,97,68,19,3,7,74,18,19.1,4.7,".270",".398",".311","0.709","0.128","49","143","3","5","8","5","1","1","4",".269",".415",".307",".322",".313",".146","87.9","13",34.1,23,7.9,4.5,26.9,36.9,"98.826293958","93.505191185",24.9,56.2
"Bogaerts, Xander",593428,2024,31,428,463,113,86,15,1,11,79,28,17.1,6,".264",".381",".307","0.688","0.117","44","163","3","13","13","1","0","0","6",".260",".386",".300",".308",".306",".126","88.1","10.9",32.1,18,5.1,3.4,27.6,33.2,"98.125304802","93.133969802",18.3,44.2
"Olson, Matt",621566,2024,30,600,685,148,81,37,1,29,170,71,24.8,10.4,".247",".457",".333","0.790","0.210","98","274","0","0","15","9","5","0","5",".242",".454",".339",".342",".331",".212","91.5","16.1",35.4,54,12.4,7.4,23,47.4,"102.726279537","95.899543218",26.3,49.7
"Giménez, Andrés",665926,2024,25,583,633,147,115,22,1,9,97,26,15.3,4.1,".252",".340",".298","0.638","0.088","63","198","5","30","11","15","1","3","6",".261",".362",".281",".301",".309",".101","86.3","8.7",32.7,14,2.8,4.4,26.9,28.5,"96.492499139","92.262342361",22.8,56.4
"Marsh, Brandon",669016,2024,26,418,476,104,68,17,3,16,154,50,32.4,10.5,".249",".419",".328","0.747","0.170","60","175","3","19","2","2","0","1","5",".233",".418",".326",".327",".318",".185","91.6","13.8",40.7,27,10,11.9,27.4,47.4,"101.08883194","95.182442734",27.5,41.3
"Fortes, Nick",663743,2024,27,308,335,70,50,16,0,4,41,11,12.2,3.3,".227",".318",".259","0.577","0.091","29","98","1","0","6","4","0","7","5",".224",".291",".252",".246",".257",".067","84.3","15.4",29,4,1.4,2.9,22.2,22.6,"95.578582782","91.819744812",13.2,49.3
"Andujar, Miguel",609280,2024,29,302,319,86,67,14,1,4,42,13,13.2,4.1,".285",".377",".320","0.697","0.092","30","114","2","3","10","3","0","0","1",".257",".344",".306",".287",".294",".087","86.1","9.2",26.1,7,2.7,3.1,23.8,33.7,"97.864980763","92.955361494",16,50.4
"Moore, Dylan",664238,2024,31,368,441,74,37,23,4,10,123,53,27.9,12,".201",".367",".320","0.687","0.166","42","135","6","32","8","14","1","1","5",".196",".333",".306",".298",".319",".137","88.4","22.6",38.2,22,8.8,6,23.9,36.3,"98.78016696","93.44884728",24.8,42.4
"Cabrera, Oswaldo",665828,2024,25,299,326,74,55,11,0,8,63,21,19.3,6.4,".247",".365",".296","0.661","0.118","36","109","2","4","6","1","0","2","3",".248",".347",".290",".291",".301",".100","88.2","12.5",34,9,3.7,5.8,28.6,34.9,"97.641570336","92.88412097",18.8,47.8
"Castro, Willi",650489,2024,27,558,635,138,90,31,5,12,150,51,23.6,8,".247",".385",".331","0.716","0.138","60","215","9","14","8","21","0","1","4",".242",".390",".317",".323",".330",".147","87.4","13.6",39,29,7,8,26.6,36.8,"98.851706502","93.501303852",29,51.4
"Smith, Will",669257,2024,29,476,544,118,72,24,2,20,105,51,19.3,9.4,".248",".433",".327","0.760","0.185","75","206","1","1","8","9","6","0","8",".238",".463",".326",".337",".322",".225","89.4","18.7",38.3,41,10.8,8.4,22.2,42,"99.318269153","93.929159392",20.9,46.2
"García, Adolis",666969,2024,31,580,637,130,78,27,0,25,177,45,27.8,7.1,".224",".400",".284","0.684","0.176","85","232","5","11","12","6","2","0","6",".223",".422",".296",".309",".285",".199","91","15",33.7,51,12.5,6.6,22.5,48.2,"101.827676765","95.435631691",34.3,52.1
"Correa, Carlos",621043,2024,29,319,367,99,63,20,2,14,61,40,16.6,10.9,".310",".517",".388","0.905","0.207","54","165","0","0","5","3","4","0","4",".271",".458",".385",".358",".357",".188","90.3","8.9",34.4,24,9.2,7.6,21,44.7,"102.536128244","95.462669198",20.4,44.6
"Suárez, Eugenio",553993,2024,32,571,640,146,86,28,2,30,176,49,27.5,7.7,".256",".469",".319","0.788","0.213","101","268","1","2","10","9","0","0","11",".246",".463",".337",".335",".313",".217","89.1","19.5",40.4,46,11.3,8.9,25.6,42.4,"100.570552315","94.463438988",29.1,47.2
"Bride, Jonah",681146,2024,28,232,272,64,43,10,0,11,55,30,20.2,11,".276",".461",".357","0.818","0.185","39","107","1","0","9","3","1","0","7",".224",".339",".351",".304",".319",".116","87.1","11.8",29.9,10,5.4,4.3,22.8,33.7,"97.444142826","92.857149348",16.7,38.2
"Ramírez, Harold",623912,2024,29,238,246,62,52,7,1,2,50,5,20.3,2,".261",".324",".280","0.604","0.063","29","77","2","6","2","2","0","0","1",".235",".318",".265",".256",".257",".083","87","-0.2",27.5,6,3.2,2.1,24.9,33.9,"98.279194301","93.19999086",31.4,56.2
"Cave, Jake",595909,2024,31,323,346,81,53,16,5,7,98,18,28.3,5.2,".251",".396",".290","0.686","0.145","37","128","2","5","6","1","1","1","3",".234",".362",".295",".281",".275",".129","87.5","7.5",35.8,12,5.2,5.2,26.2,37.1,"98.314485398","93.366757022",28.2,52.6
"Lux, Gavin",666158,2024,26,439,487,110,74,24,2,10,110,44,22.6,9,".251",".383",".320","0.703","0.132","50","168","2","5","8","2","0","0","2",".254",".390",".310",".319",".325",".136","88.3","9.1",35,20,6,7.3,29,41.1,"98.995997212","93.691033374",23.3,45.1
"Malloy, Justyn-Henry",669234,2024,24,202,230,41,25,7,1,8,85,23,37,10,".203",".366",".291","0.657","0.163","21","74","1","1","2","3","0","0","2",".179",".341",".291",".272",".270",".163","87.6","18.7",31.9,13,10.9,6.7,21.8,37.8,"98.290103167","93.208402605",36.6,43.9
"Suzuki, Seiya",673548,2024,29,512,585,145,91,27,6,21,160,63,27.4,10.8,".283",".482",".366","0.848","0.199","73","247","6","16","6","6","3","0","4",".252",".464",".365",".348",".340",".212","91.7","16.2",38.8,41,11.5,10.1,25.3,49.2,"102.565369326","95.834191408",24.5,39.6
"Santana, Carlos",467793,2024,38,521,594,124,75,26,0,23,99,65,16.7,10.9,".238",".420",".328","0.748","0.182","71","219","0","4","11","6","3","0","2",".244",".424",".326",".333",".334",".180","89.2","16.1",30.9,31,7.3,6.6,23.1,39.9,"99.506124387","94.004167778",23.3,43.3
"Wells, Austin",669224,2024,24,354,414,81,49,18,1,13,87,47,21,11.4,".229",".395",".322","0.717","0.166","55","140","2","1","9","5","0","1","7",".242",".439",".315",".343",".338",".198","88.4","17.1",34.5,25,9.1,7.3,23.3,38.9,"99.723567259","94.070969368",27.3,49.3
"Brown, Seth",664913,2024,31,372,400,86,60,11,1,14,112,25,28,6.3,".231",".379",".282","0.661","0.148","44","141","2","4","7","2","0","0","1",".230",".398",".289",".298",".282",".168","90","14.6",35.2,22,8.4,6.9,25.7,40.6,"100.936577054","94.815981008",29.1,52
"Diaz, Yainer",673237,2024,25,585,619,175,127,29,3,16,107,24,17.3,3.9,".299",".441",".325","0.766","0.142","84","258","0","2","22","2","1","0","8",".296",".467",".329",".343",".324",".170","90.2","8.9",35,37,7.6,8.4,28.8,47.5,"101.297056214","95.034359505",24,58.8
"Hernández, Teoscar",606192,2024,31,589,652,160,93,32,2,33,188,53,28.8,8.1,".272",".501",".339","0.840","0.229","99","295","3","12","7","8","3","0","1",".245",".493",".360",".347",".316",".248","90.6","10.3",33.8,60,14.9,7.5,20.4,46.8,"102.727395423","95.689116559",34,51.2
"Moreno, Gabriel",672515,2024,24,305,351,81,57,18,1,5,52,41,14.8,11.7,".266",".380",".353","0.733","0.114","45","116","1","3","10","2","1","0","3",".251",".393",".325",".329",".342",".142","90","8.8",33.6,17,6.6,5.9,22.7,41,"99.887726484","94.221263359",18.5,41.2
"Blackmon, Charlie",453568,2024,37,449,499,115,74,24,5,12,86,43,17.2,8.6,".256",".412",".329","0.741","0.156","52","185","2","6","4","6","2","0","1",".246",".374",".323",".309",".320",".127","84.8","16.3",34.1,19,5.2,4.4,27.7,27.2,"96.083583591","92.106050111",19.2,48
"Sosa, Lenyn",672820,2024,24,351,369,89,68,13,0,8,77,12,20.9,3.3,".254",".359",".283","0.642","0.105","35","126","1","3","5","3","1","2","1",".276",".432",".280",".321",".307",".156","89","12.3",42.2,17,6.1,9,30.7,41.2,"99.355197445","93.909530839",19.8,52.7
"Grandal, Yasmani",518735,2024,35,215,243,49,30,10,0,9,46,24,18.9,9.9,".228",".400",".304","0.704","0.172","27","86","0","1","7","0","0","3","1",".241",".430",".308",".327",".317",".190","91.1","11.1",31.8,17,9.8,6.4,24.9,42.8,"100.246108353","94.442007765",20.1,40.9
"Fry, David",681807,2024,28,335,392,88,55,18,1,14,84,42,21.4,10.7,".263",".448",".356","0.804","0.185","51","150","1","4","13","9","4","0","4",".247",".408",".347",".332",".345",".161","88.3","19.6",36.9,19,7.5,6.3,29,37.6,"99.146678031","93.715471417",24.8,49.2
"Moniak, Mickey",666160,2024,26,392,418,86,53,17,2,14,114,21,27.3,5,".219",".380",".266","0.646","0.161","49","149","4","8","3","4","0","0","1",".219",".387",".281",".286",".266",".168","88.1","19.8",31.9,26,9.3,5,20.8,34.4,"99.494460797","93.816907681",30.6,56.7
"Betts, Mookie",605141,2024,31,450,516,130,82,24,5,19,57,61,11,11.8,".289",".491",".372","0.863","0.202","75","221","2","16","10","1","2","0","4",".282",".468",".371",".364",".368",".187","89.9","21.4",39.3,24,6,10.1,28.2,39.5,"98.50877402","93.575257103",14.9,40.4
"McCann, James",543510,2024,34,214,233,50,33,9,0,8,56,13,24,5.6,".234",".388",".279","0.667","0.154","31","83","0","1","3","2","0","0","4",".241",".424",".288",".315",".292",".183","87.4","14.4",38.9,14,8.6,9.3,21,37.7,"99.207987625","93.644913774",27.6,52.1
"Machado, Manny",592518,2024,31,593,643,163,104,30,0,29,124,45,19.3,7,".275",".472",".325","0.797","0.197","105","280","2","11","25","1","6","0","4",".266",".467",".340",".340",".320",".202","92.5","12.7",33.8,52,11,5.9,24.3,48.8,"103.370494128","96.17209183",24.4,51.6
"Bregman, Alex",608324,2024,30,581,634,151,93,30,2,26,86,44,13.6,6.9,".260",".453",".315","0.768","0.193","75","263","1","3","13","5","1","0","4",".255",".434",".331",".325",".313",".179","89.1","18.2",34.9,32,6.4,7.4,24.8,40.5,"98.986527952","93.684160984",12.8,44.9
"Raley, Luke",670042,2024,29,404,455,98,55,19,2,22,135,27,29.7,5.9,".243",".463",".320","0.783","0.220","58","187","2","11","2","20","0","2","2",".220",".433",".339",".321",".301",".213","90.1","13.5",31.5,30,11,8.1,18.3,41.8,"101.696067615","95.042152538",34.5,51.8
"Henderson, Gunnar",683002,2024,23,630,719,177,102,31,7,37,159,78,22.1,10.8,".281",".529",".364","0.893","0.248","92","333","4","21","2","7","1","0","4",".279",".499",".381",".375",".364",".220","92.8","9.2",34.5,53,11.2,8.6,24.4,53.9,"104.002332911","96.835723291",24.4,44.2
"Bader, Harrison",664056,2024,30,402,437,95,64,19,0,12,95,21,21.7,4.8,".236",".373",".284","0.657","0.137","51","150","8","17","6","8","1","0","6",".241",".387",".285",".299",".291",".145","87.2","11.9",33.9,20,6.4,4.5,24.6,35.5,"98.685690255","93.420801022",24.5,46.6
"Rodríguez, Julio",677594,2024,23,567,613,155,118,17,0,20,156,38,25.4,6.2,".273",".409",".325","0.734","0.136","68","232","5","24","10","6","1","0","2",".274",".472",".321",".348",".326",".197","91.7","10.5",33.2,42,10.2,6.1,25.4,48.4,"103.553687536","96.325344116",30.9,54.3
"Murphy, Sean",669221,2024,29,233,264,45,29,5,1,10,67,27,25.4,10.2,".193",".352",".284","0.636","0.159","25","82","0","0","7","3","1","0","1",".211",".401",".281",".309",".300",".190","88","10.5",25.7,16,9.6,4.2,20.4,36.5,"99.757961548","94.022077485",28.4,45.6
"Cowser, Colton",681297,2024,24,499,561,121,70,24,3,24,172,52,30.7,9.3,".242",".447",".321","0.768","0.205","69","223","4","9","9","7","2","0","3",".230",".456",".331",".333",".312",".226","90.5","13",32.1,45,13.6,7.6,22.4,46.1,"101.838992303","95.374243739",30.4,44.5
"Arozarena, Randy",668227,2024,29,549,648,120,67,33,0,20,169,73,26.1,11.3,".219",".388",".332","0.720","0.169","60","213","10","20","7","22","0","0","4",".213",".381",".320",".322",".330",".168","90.4","13.2",28.4,32,8.3,7,21.1,43.5,"100.904108177","94.731331384",29.7,41
"Merrill, Jackson",701538,2024,21,554,593,162,101,31,6,24,101,29,17,4.9,".292",".500",".326","0.826","0.208","90","277","3","16","2","1","1","4","5",".300",".547",".352",".375",".334",".248","90.4","14.6",39.6,52,11.3,7.8,25.3,43.9,"100.811784978","94.735707484",20.5,56.9
"De La Cruz, Elly",682829,2024,22,618,696,160,89,36,10,25,218,69,31.3,9.9,".259",".471",".339","0.810","0.212","76","291","16","67","12","6","2","2","1",".237",".437",".349",".330",".319",".200","91.8","9.7",35.7,51,12.7,6.2,22.8,45.7,"102.95535404","95.90272362",33.4,43.4
"Pederson, Joc",592626,2024,32,367,449,101,60,17,1,23,105,55,23.4,12.2,".275",".515",".393","0.908","0.240","64","189","4","7","5","18","2","1","3",".259",".486",".391",".378",".381",".227","92.3","16.9",34.2,34,12.8,5.6,24.8,46.2,"102.648599462","95.864061892",25,44
"Perkins, Blake",663368,2024,27,383,434,92,71,13,2,6,108,42,24.9,9.7,".240",".332",".316","0.648","0.092","43","127","5","23","3","3","1","0","6",".218",".319",".288",".280",".298",".101","88.8","12",32,11,3.9,6,23.5,37.7,"97.789208222","93.114376074",27.1,42.4
"Fairchild, Stuart",656413,2024,28,209,233,45,29,8,0,8,60,17,25.8,7.3,".215",".368",".286","0.654","0.153","30","77","1","13","1","4","0","2","1",".215",".392",".288",".298",".287",".177","85.5","20.5",27.6,12,7.9,5.9,20.4,36.8,"98.640738472","93.363702378",35.5,50.2
"Westburg, Jordan",676059,2024,25,416,447,110,61,26,5,18,97,22,21.7,4.9,".264",".481",".312","0.793","0.217","63","200","3","6","5","7","0","1","1",".275",".499",".340",".355",".323",".223","91.1","13.1",37.4,38,11.8,9,23.4,46.1,"101.801873375","95.272487",29.3,51
"Thomas, Lane",657041,2024,28,472,528,112,68,26,3,15,137,44,25.9,8.3,".237",".400",".309","0.709","0.163","63","189","14","32","5","7","1","0","5",".240",".388",".309",".311",".313",".148","88.8","17",31.5,25,7.4,7.1,27.9,40.6,"100.376555353","94.3557595",23.3,43.8
