"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","b_rbi","b_total_bases","r_total_caught_stealing","r_total_stolen_base","b_gnd_into_dp","b_hit_by_pitch","b_intent_walk","b_sac_bunt","b_sac_fly","xba","xslg","woba","xwoba","xobp","xiso","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","solidcontact_percent","flareburner_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Sheets, Gavin",657757,2024,28,451,501,105,70,24,1,10,106,43,21.2,8.6,".233",".357",".303","0.660","0.124","45","161","2","2","6","4","2","0","3",".248",".387",".291",".313",".318",".139","87.8","13.5",41.1,20,5.7,6.3,29.3,35.3,"98.863415862","93.510571585",23,46.2
"Taylor, Tyrone",621438,2024,30,319,345,79,47,22,3,7,80,19,23.2,5.5,".248",".401",".299","0.700","0.153","35","128","2","11","4","5","1","1","1",".246",".400",".304",".305",".298",".153","87.3","16.8",34.9,17,7.1,7.5,24.9,35.3,"99.355167983","93.783487975",22.2,49.4
"McMahon, Ryan",641857,2024,29,567,645,137,89,28,0,20,185,69,28.7,10.7,".242",".397",".325","0.722","0.155","65","225","6","4","9","3","4","0","4",".238",".421",".315",".327",".324",".183","92.1","10",36.5,42,10.9,7,27.5,49.7,"102.62988712","96.057260524",30,46.9
"Rogers, Jake",668670,2024,29,310,337,61,34,16,1,10,99,22,29.4,6.5,".197",".352",".255","0.607","0.155","36","109","0","1","6","3","1","0","2",".215",".420",".264",".299",".273",".205","89","15.7",32.9,21,9.9,9.4,21.6,41.8,"99.180639906","93.973828585",32.7,47.6
"Edwards, Xavier",669364,2024,24,265,303,87,69,12,5,1,52,33,17.2,10.9,".328",".423",".397","0.820","0.095","26","112","4","31","0","0","1","1","4",".252",".328",".359",".300",".332",".076","86.1","6.7",37.6,4,1.8,3.7,28.4,24.3,"95.052217333","91.536547476",16.9,47.5
"Langeliers, Shea",669127,2024,26,482,534,108,59,18,2,29,145,41,27.2,7.7,".224",".450",".288","0.738","0.226","80","217","2","4","15","5","2","0","6",".237",".461",".315",".328",".302",".223","91.3","16.3",35.3,44,12.8,5.2,21.6,44,"102.05460686","95.451719446",29.2,49.5
"Casas, Triston",671213,2024,24,212,243,51,30,8,0,13,77,30,31.7,12.3,".241",".462",".337","0.799","0.221","32","98","1","0","6","1","4","0","0",".215",".447",".342",".327",".315",".233","90.2","10.5",35.6,18,13.3,7.4,21.5,45.2,"101.435410588","95.112485926",32.2,44.5
"Tatis Jr., Fernando",665487,2024,25,398,438,110,67,21,1,21,96,32,21.9,7.3,".276",".492",".340","0.832","0.216","49","196","3","11","8","7","0","0","1",".294",".548",".359",".390",".357",".254","93.5","10",33.7,44,14.5,6.9,24.8,55.8,"104.418991126","97.109953874",28.1,51.3
"Soto, Juan",665742,2024,25,576,713,166,90,31,4,41,119,129,16.7,18.1,".288",".569",".419","0.988","0.281","109","328","4","7","10","4","2","0","4",".310",".655",".421",".463",".440",".345","94.2","10.7",35.4,91,19.7,6.3,22.6,57,"105.650123728","97.994705143",21.5,37.2
"Kiermaier, Kevin",595281,2024,34,259,281,51,34,9,3,5,86,12,30.6,4.3,".197",".313",".237","0.550","0.116","26","81","2","6","4","2","0","7","1",".195",".284",".241",".237",".237",".089","86.4","7.3",27.6,7,3.9,5,23.2,30,"97.683193765","92.874723706",37.5,54.9
